49°58,100'N	004°18,500'E
49°57,800'N	004°15,000'E
49°57,300'N	004°11,800'E
49°58,000'N	004°11,900'E
49°58,700'N	004°10,400'E
49°58,700'N	004°08,400'E
50°00,000'N	004°09,800'E
50°01,000'N	004°08,200'E
50°02,940'N	004°09,740'E
50°02,780'N	004°10,520'E
50°04,100'N	004°14,000'E
50°06,300'N	004°12,300'E
50°08,000'N	004°12,000'E
50°08,200'N	004°09,500'E
50°07,800'N	004°09,300'E
50°08,200'N	004°07,800'E
50°10,300'N	004°09,300'E
50°12,180'N	004°09,590'E
50°12,660'N	004°09,010'E
50°13,300'N	004°10,520'E
50°14,490'N	004°11,510'E
50°14,400'N	004°12,270'E
50°15,400'N	004°13,200'E
50°16,400'N	004°12,400'E
50°16,600'N	004°10,800'E
50°17,100'N	004°10,700'E
50°17,200'N	004°09,300'E
50°16,400'N	004°09,100'E
50°15,700'N	004°10,100'E
50°15,400'N	004°08,200'E
50°17,800'N	004°07,300'E
50°18,790'N	004°05,680'E
50°18,550'N	004°04,820'E
50°19,270'N	004°04,820'E
50°21,200'N	004°02,000'E
50°21,560'N	004°01,620'E
50°20,570'N	003°58,910'E
50°20,900'N	003°58,200'E
50°19,700'N	003°54,100'E
50°19,670'N	003°53,200'E
50°20,480'N	003°53,240'E
50°20,330'N	003°52,170'E
50°21,200'N	003°51,200'E
50°21,000'N	003°44,700'E
50°19,870'N	003°43,950'E
50°18,700'N	003°44,000'E
50°19,200'N	003°42,800'E
50°18,300'N	003°43,000'E
50°18,170'N	003°42,680'E
50°20,100'N	003°40,500'E
50°22,400'N	003°39,700'E
50°23,300'N	003°40,400'E
50°26,700'N	003°40,100'E
50°29,500'N	003°36,800'E
50°29,870'N	003°36,480'E
50°29,490'N	003°35,410'E
50°29,600'N	003°34,760'E
50°30,070'N	003°34,170'E
50°29,300'N	003°30,000'E
50°30,110'N	003°30,000'E
50°31,400'N	003°31,200'E
50°32,000'N	003°28,200'E
50°30,500'N	003°26,400'E
50°29,800'N	003°22,900'E
50°31,800'N	003°17,000'E
50°35,700'N	003°16,900'E
50°37,360'N	003°15,400'E
50°38,660'N	003°14,750'E
50°40,300'N	003°14,700'E
50°40,700'N	003°16,000'E
50°42,200'N	003°15,700'E
50°42,900'N	003°14,800'E
50°42,800'N	003°12,900'E
50°43,620'N	003°11,600'E
50°44,130'N	003°11,940'E
50°44,480'N	003°11,210'E
50°45,710'N	003°10,280'E
50°47,400'N	003°08,890'E
50°47,200'N	003°08,300'E
50°47,900'N	003°06,900'E
50°47,070'N	003°06,110'E
50°46,520'N	003°05,100'E
50°46,990'N	003°03,680'E
50°46,680'N	003°02,220'E
50°46,350'N	003°01,980'E
50°46,610'N	003°01,110'E
50°45,160'N	002°58,130'E
50°45,450'N	002°57,190'E
50°44,860'N	002°56,220'E
50°44,330'N	002°56,040'E
50°43,980'N	002°56,460'E
50°43,820'N	002°55,770'E
50°43,230'N	002°55,420'E
50°42,480'N	002°55,380'E
50°42,330'N	002°54,410'E
50°41,630'N	002°54,200'E
50°42,370'N	002°53,130'E
50°42,150'N	002°52,640'E
50°42,170'N	002°52,190'E
50°43,500'N	002°51,000'E
50°42,900'N	002°49,140'E
50°43,670'N	002°47,330'E
50°45,030'N	002°46,810'E
50°45,890'N	002°45,280'E
50°46,240'N	002°45,700'E
50°46,630'N	002°45,140'E
50°47,070'N	002°44,070'E
50°48,060'N	002°43,270'E
50°48,900'N	002°43,400'E
50°48,790'N	002°40,770'E
50°49,290'N	002°40,210'E
50°48,810'N	002°39,280'E
50°48,900'N	002°38,100'E
50°50,230'N	002°37,540'E
50°50,960'N	002°36,360'E
50°51,130'N	002°35,870'E
50°51,880'N	002°36,600'E
50°53,440'N	002°36,360'E
50°54,340'N	002°36,290'E
50°55,300'N	002°35,800'E
50°56,800'N	002°38,000'E
50°59,600'N	002°36,300'E
51°00,000'N	002°35,000'E
51°05,400'N	002°32,800'E
51°22,200'N	003°22,200'E
